power [kw],Time
268.7,2020 01 08 19:00:00
247.26,2020 01 08 20:00:00
212.0,2020 01 08 21:00:00
53.94,2020 01 08 22:00:00
172.04,2020 01 08 23:00:00
90.88,2020 01 09 00:00:00
63.38,2020 01 09 01:00:00
82.78,2020 01 09 02:00:00
76.68,2020 01 09 03:00:00
79.78,2020 01 09 04:00:00
97.86,2020 01 09 05:00:00
209.73,2020 01 09 06:00:00
201.05,2020 01 09 07:00:00
414.45,2020 01 09 08:00:00
518.17,2020 01 09 09:00:00
493.48,2020 01 09 10:00:00
571.01,2020 01 09 11:00:00
520.3,2020 01 09 12:00:00
511.75,2020 01 09 13:00:00
502.25,2020 01 09 14:00:00
493.72,2020 01 09 15:00:00
514.27,2020 01 09 16:00:00
534.75,2020 01 09 17:00:00
500.93,2020 01 09 18:00:00
460.23,2020 01 09 19:00:00
386.81,2020 01 09 20:00:00
212.06,2020 01 09 21:00:00
59.53,2020 01 09 22:00:00
177.41,2020 01 09 23:00:00
93.1,2020 01 10 00:00:00
63.33,2020 01 10 01:00:00
81.09,2020 01 10 02:00:00
78.29,2020 01 10 03:00:00
119.55,2020 01 10 04:00:00
137.25,2020 01 10 05:00:00
251.08,2020 01 10 06:00:00
223.81,2020 01 10 07:00:00
414.64,2020 01 10 08:00:00
518.17,2020 01 10 09:00:00
493.57,2020 01 10 10:00:00
571.07,2020 01 10 11:00:00
520.51,2020 01 10 12:00:00
512.0,2020 01 10 13:00:00
502.42,2020 01 10 14:00:00
493.93,2020 01 10 15:00:00
514.54,2020 01 10 16:00:00
535.02,2020 01 10 17:00:00
501.13,2020 01 10 18:00:00
444.1,2020 01 10 19:00:00
371.79,2020 01 10 20:00:00
200.45,2020 01 10 21:00:00
54.23,2020 01 10 22:00:00
177.3,2020 01 10 23:00:00
99.3,2020 01 11 00:00:00
58.82,2020 01 11 01:00:00
82.17,2020 01 11 02:00:00
84.53,2020 01 11 03:00:00
75.48,2020 01 11 04:00:00
97.71,2020 01 11 05:00:00
210.21,2020 01 11 06:00:00
201.85,2020 01 11 07:00:00
415.01,2020 01 11 08:00:00
519.24,2020 01 11 09:00:00
494.76,2020 01 11 10:00:00
571.71,2020 01 11 11:00:00
521.93,2020 01 11 12:00:00
517.25,2020 01 11 13:00:00
511.13,2020 01 11 14:00:00
505.66,2020 01 11 15:00:00
528.99,2020 01 11 16:00:00
551.07,2020 01 11 17:00:00
513.82,2020 01 11 18:00:00
474.75,2020 01 11 19:00:00
400.25,2020 01 11 20:00:00
224.42,2020 01 11 21:00:00
33.88,2020 01 11 22:00:00
184.88,2020 01 11 23:00:00
90.01,2020 01 12 00:00:00
90.23,2020 01 12 01:00:00
93.7,2020 01 12 02:00:00
70.02,2020 01 12 03:00:00
96.81,2020 01 12 04:00:00
101.43,2020 01 12 05:00:00
210.76,2020 01 12 06:00:00
202.64,2020 01 12 07:00:00
415.46,2020 01 12 08:00:00
519.43,2020 01 12 09:00:00
495.49,2020 01 12 10:00:00
572.29,2020 01 12 11:00:00
521.86,2020 01 12 12:00:00
514.71,2020 01 12 13:00:00
504.92,2020 01 12 14:00:00
495.85,2020 01 12 15:00:00
515.7,2020 01 12 16:00:00
536.02,2020 01 12 17:00:00
501.65,2020 01 12 18:00:00
460.88,2020 01 12 19:00:00
387.84,2020 01 12 20:00:00
212.64,2020 01 12 21:00:00
46.56,2020 01 12 22:00:00
176.72,2020 01 12 23:00:00
96.27,2020 01 13 00:00:00
61.04,2020 01 13 01:00:00
84.47,2020 01 13 02:00:00
81.41,2020 01 13 03:00:00
116.84,2020 01 13 04:00:00
140.35,2020 01 13 05:00:00
251.65,2020 01 13 06:00:00
224.79,2020 01 13 07:00:00
415.21,2020 01 13 08:00:00
519.14,2020 01 13 09:00:00
494.95,2020 01 13 10:00:00
572.99,2020 01 13 11:00:00
526.16,2020 01 13 12:00:00
522.9,2020 01 13 13:00:00
517.92,2020 01 13 14:00:00
513.85,2020 01 13 15:00:00
527.67,2020 01 13 16:00:00
559.65,2020 01 13 17:00:00
524.73,2020 01 13 18:00:00
475.07,2020 01 13 19:00:00
405.59,2020 01 13 20:00:00
235.46,2020 01 13 21:00:00
53.05,2020 01 13 22:00:00
143.51,2020 01 13 23:00:00
72.28,2020 01 14 00:00:00
60.16,2020 01 14 01:00:00
62.2,2020 01 14 02:00:00
60.67,2020 01 14 03:00:00
64.92,2020 01 14 04:00:00
84.18,2020 01 14 05:00:00
176.83,2020 01 14 06:00:00
164.58,2020 01 14 07:00:00
328.69,2020 01 14 08:00:00
403.58,2020 01 14 09:00:00
500.87,2020 01 14 10:00:00
576.85,2020 01 14 11:00:00
524.05,2020 01 14 12:00:00
516.87,2020 01 14 13:00:00
506.74,2020 01 14 14:00:00
497.66,2020 01 14 15:00:00
507.26,2020 01 14 16:00:00
537.72,2020 01 14 17:00:00
457.72,2020 01 14 18:00:00
321.34,2020 01 14 19:00:00
295.83,2020 01 14 20:00:00
166.49,2020 01 14 21:00:00
17.86,2020 01 14 22:00:00
163.7,2020 01 14 23:00:00
69.85,2020 01 15 00:00:00
71.64,2020 01 15 01:00:00
79.35,2020 01 15 02:00:00
59.09,2020 01 15 03:00:00
88.25,2020 01 15 04:00:00
94.48,2020 01 15 05:00:00
163.7,2020 01 15 06:00:00
155.28,2020 01 15 07:00:00
233.71,2020 01 15 08:00:00
164.68,2020 01 15 09:00:00
284.61,2020 01 15 10:00:00
363.02,2020 01 15 11:00:00
402.61,2020 01 15 12:00:00
395.7,2020 01 15 13:00:00
385.99,2020 01 15 14:00:00
377.34,2020 01 15 15:00:00
387.49,2020 01 15 16:00:00
325.26,2020 01 15 17:00:00
319.91,2020 01 15 18:00:00
269.4,2020 01 15 19:00:00
247.45,2020 01 15 20:00:00
212.11,2020 01 15 21:00:00
35.0,2020 01 15 22:00:00
171.62,2020 01 15 23:00:00
92.7,2020 01 16 00:00:00
54.2,2020 01 16 01:00:00
76.76,2020 01 16 02:00:00
77.77,2020 01 16 03:00:00
70.89,2020 01 16 04:00:00
92.42,2020 01 16 05:00:00
163.81,2020 01 16 06:00:00
155.71,2020 01 16 07:00:00
235.49,2020 01 16 08:00:00
169.83,2020 01 16 09:00:00
294.17,2020 01 16 10:00:00
373.6,2020 01 16 11:00:00
416.31,2020 01 16 12:00:00
409.63,2020 01 16 13:00:00
404.98,2020 01 16 14:00:00
399.11,2020 01 16 15:00:00
409.67,2020 01 16 16:00:00
346.11,2020 01 16 17:00:00
336.85,2020 01 16 18:00:00
287.53,2020 01 16 19:00:00
263.23,2020 01 16 20:00:00
225.32,2020 01 16 21:00:00
35.77,2020 01 16 22:00:00
177.93,2020 01 16 23:00:00
83.56,2020 01 17 00:00:00
90.56,2020 01 17 01:00:00
93.67,2020 01 17 02:00:00
65.01,2020 01 17 03:00:00
138.0,2020 01 17 04:00:00
140.99,2020 01 17 05:00:00
251.49,2020 01 17 06:00:00
224.35,2020 01 17 07:00:00
414.81,2020 01 17 08:00:00
517.53,2020 01 17 09:00:00
493.63,2020 01 17 10:00:00
571.06,2020 01 17 11:00:00
519.55,2020 01 17 12:00:00
511.6,2020 01 17 13:00:00
502.09,2020 01 17 14:00:00
493.46,2020 01 17 15:00:00
503.63,2020 01 17 16:00:00
534.24,2020 01 17 17:00:00
500.69,2020 01 17 18:00:00
443.12,2020 01 17 19:00:00
370.93,2020 01 17 20:00:00
200.02,2020 01 17 21:00:00
61.0,2020 01 17 22:00:00
177.61,2020 01 17 23:00:00
74.17,2020 01 18 00:00:00
80.56,2020 01 18 01:00:00
82.1,2020 01 18 02:00:00
58.45,2020 01 18 03:00:00
96.44,2020 01 18 04:00:00
97.26,2020 01 18 05:00:00
209.5,2020 01 18 06:00:00
200.56,2020 01 18 07:00:00
414.26,2020 01 18 08:00:00
517.68,2020 01 18 09:00:00
492.93,2020 01 18 10:00:00
570.68,2020 01 18 11:00:00
519.97,2020 01 18 12:00:00
511.04,2020 01 18 13:00:00
501.59,2020 01 18 14:00:00
493.03,2020 01 18 15:00:00
503.32,2020 01 18 16:00:00
534.11,2020 01 18 17:00:00
500.66,2020 01 18 18:00:00
459.88,2020 01 18 19:00:00
386.35,2020 01 18 20:00:00
211.9,2020 01 18 21:00:00
61.99,2020 01 18 22:00:00
179.16,2020 01 18 23:00:00
72.4,2020 01 19 00:00:00
80.35,2020 01 19 01:00:00
83.62,2020 01 19 02:00:00
56.7,2020 01 19 03:00:00
96.42,2020 01 19 04:00:00
98.84,2020 01 19 05:00:00
209.52,2020 01 19 06:00:00
200.58,2020 01 19 07:00:00
414.27,2020 01 19 08:00:00
517.75,2020 01 19 09:00:00
492.98,2020 01 19 10:00:00
570.72,2020 01 19 11:00:00
520.04,2020 01 19 12:00:00
511.19,2020 01 19 13:00:00
501.72,2020 01 19 14:00:00
493.19,2020 01 19 15:00:00
503.48,2020 01 19 16:00:00
534.3,2020 01 19 17:00:00
500.74,2020 01 19 18:00:00
460.27,2020 01 19 19:00:00
