power [kw],Time
385.36,2020 01 08 19:00:00
387.54,2020 01 08 20:00:00
322.7,2020 01 08 21:00:00
239.37,2020 01 08 22:00:00
169.63,2020 01 08 23:00:00
126.09,2020 01 09 00:00:00
118.92,2020 01 09 01:00:00
117.09,2020 01 09 02:00:00
117.48,2020 01 09 03:00:00
146.24,2020 01 09 04:00:00
205.26,2020 01 09 05:00:00
272.7,2020 01 09 06:00:00
254.04,2020 01 09 07:00:00
219.95,2020 01 09 08:00:00
177.12,2020 01 09 09:00:00
132.86,2020 01 09 10:00:00
128.15,2020 01 09 11:00:00
118.01,2020 01 09 12:00:00
113.1,2020 01 09 13:00:00
109.86,2020 01 09 14:00:00
128.18,2020 01 09 15:00:00
255.68,2020 01 09 16:00:00
377.97,2020 01 09 17:00:00
404.99,2020 01 09 18:00:00
395.77,2020 01 09 19:00:00
394.33,2020 01 09 20:00:00
326.79,2020 01 09 21:00:00
242.09,2020 01 09 22:00:00
172.15,2020 01 09 23:00:00
129.88,2020 01 10 00:00:00
125.15,2020 01 10 01:00:00
122.77,2020 01 10 02:00:00
123.82,2020 01 10 03:00:00
150.67,2020 01 10 04:00:00
207.49,2020 01 10 05:00:00
274.79,2020 01 10 06:00:00
255.68,2020 01 10 07:00:00
221.03,2020 01 10 08:00:00
174.83,2020 01 10 09:00:00
128.45,2020 01 10 10:00:00
120.54,2020 01 10 11:00:00
107.93,2020 01 10 12:00:00
102.54,2020 01 10 13:00:00
99.46,2020 01 10 14:00:00
116.67,2020 01 10 15:00:00
243.47,2020 01 10 16:00:00
365.52,2020 01 10 17:00:00
392.71,2020 01 10 18:00:00
383.47,2020 01 10 19:00:00
381.88,2020 01 10 20:00:00
312.88,2020 01 10 21:00:00
225.45,2020 01 10 22:00:00
152.24,2020 01 10 23:00:00
105.22,2020 01 11 00:00:00
97.72,2020 01 11 01:00:00
94.81,2020 01 11 02:00:00
92.22,2020 01 11 03:00:00
118.18,2020 01 11 04:00:00
177.34,2020 01 11 05:00:00
245.13,2020 01 11 06:00:00
225.2,2020 01 11 07:00:00
195.55,2020 01 11 08:00:00
157.49,2020 01 11 09:00:00
117.36,2020 01 11 10:00:00
113.95,2020 01 11 11:00:00
102.24,2020 01 11 12:00:00
93.55,2020 01 11 13:00:00
87.13,2020 01 11 14:00:00
100.99,2020 01 11 15:00:00
220.77,2020 01 11 16:00:00
333.57,2020 01 11 17:00:00
358.96,2020 01 11 18:00:00
349.28,2020 01 11 19:00:00
344.73,2020 01 11 20:00:00
274.8,2020 01 11 21:00:00
187.2,2020 01 11 22:00:00
113.93,2020 01 11 23:00:00
71.62,2020 01 12 00:00:00
69.01,2020 01 12 01:00:00
70.08,2020 01 12 02:00:00
73.86,2020 01 12 03:00:00
104.45,2020 01 12 04:00:00
163.44,2020 01 12 05:00:00
229.33,2020 01 12 06:00:00
210.04,2020 01 12 07:00:00
175.87,2020 01 12 08:00:00
130.04,2020 01 12 09:00:00
86.93,2020 01 12 10:00:00
84.98,2020 01 12 11:00:00
78.8,2020 01 12 12:00:00
76.81,2020 01 12 13:00:00
75.5,2020 01 12 14:00:00
94.44,2020 01 12 15:00:00
220.5,2020 01 12 16:00:00
340.48,2020 01 12 17:00:00
368.77,2020 01 12 18:00:00
361.7,2020 01 12 19:00:00
359.64,2020 01 12 20:00:00
